RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600221612019' ;26/04/2019;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;28/10/2024;Desaprovada;Acórdão;'160369618' ;'-' ;;30/04/2024;16/10/2024;;;-;-;698868.75;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600220762019' ;26/04/2019;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;10/04/2025;Desaprovada;Acórdão;'159040062' ;'-' ;;05/06/2023;08/04/2024;;;14355.55;-;239259.18;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;30/04/2019;-;-;'-' ;'0600219912019' ;26/04/2019;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;06/09/2023;Aprovada com ressalvas;Acórdão;'158815042' ;'-' ;;27/03/2023;31/03/2023;;;-;-;11725.94;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600251962019' ;30/04/2019;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;28/09/2023;Conta não prestada;Acórdão;'129406988' ;'-' ;;07/04/2021;14/04/2021;;;-;-;1252564.58;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600252812019' ;30/04/2019;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600246742019' ;30/04/2019;;;;;-;-;-;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;28/09/2023;Aprovada com ressalvas;Decisão Monocrática;'157031122' ;'-' ;;02/02/2022;11/02/2022;;;-;-;2691.9;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600248442019' ;30/04/2019;;;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;22/04/2022;Aprovada com ressalvas;Acórdão;'06002484420196000000' ;'-' ;;23/11/2021;26/11/2021;;;-;-;26052.13;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600250142019' ;30/04/2019;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600254512019' ;01/05/2019;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;09/09/2021;Conta não prestada;Acórdão;'0600263-13.2019.6.00' ;'-' ;;15/03/2021;18/03/2021;;;-;-;2371912.37;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Em trâmite;07/05/2019;-;-;'-' ;'0600253662019' ;30/04/2019;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'43832016' ;28/04/2016;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;11/05/2021;Aprovada com ressalvas;Acórdão;'0000157-08' ;'-' ;;22/04/2021;26/04/2021;;;-;-;30000;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'45102016' ;02/05/2016;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'39432016' ;15/04/2016;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;29/07/2022;Desaprovada;Acórdão;'139-84' ;'-' ;;30/04/2021;12/08/2021;01/05/2022;30/08/2022;-;-;2954897.4;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44052016' ;29/04/2016;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'43932016' ;28/04/2016;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;11/09/2023;Desaprovada;Acórdão;'159-75' ;'-' ;;17/05/2021;24/05/2021;01/06/2022;30/10/2022;-;-;780936.24;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44412016' ;29/04/2016;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;10/04/2023;Aprovada com ressalvas;Acórdão;'173-59' ;'-' ;;26/03/2021;08/03/2022;;;-;-;1828358.66;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'43002016' ;27/04/2016;;;;;-;-;-;Não;
'73282907000245' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;02/08/2024;Aprovada com ressalvas;Acórdão;'0000154-53.2016.6.00' ;'-' ;;09/08/2023;23/02/2024;;;-;-;81340;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44782016' ;02/05/2016;;;;;-;-;-;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;29/05/2023;Desaprovada;Acórdão;'185-73' ;'-' ;;12/05/2021;01/07/2022;01/01/2023;31/08/2023;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'45072016' ;02/05/2016;;;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;08/10/2021;Aprovada com ressalvas;Acórdão;'00001891320166000000' ;'-' ;;17/05/2021;01/09/2021;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44572016' ;02/05/2016;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;31/10/2023;Desaprovada;Acórdão;'156984999' ;'-' ;;13/12/2021;13/06/2022;;;-;-;346125.92;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'43082016' ;27/04/2016;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;08/10/2021;Aprovada com ressalvas;Acórdão;'00001562320166000000' ;'-' ;;10/05/2021;14/05/2021;;;-;-;193962.04;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44662016' ;02/05/2016;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;11/09/2023;Desaprovada;Acórdão;'178-81' ;'-' ;;02/06/2021;11/06/2021;;;-;-;837458.84;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44182016' ;29/04/2016;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44742016' ;02/05/2016;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44772016' ;02/05/2016;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44562016' ;02/05/2016;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44062016' ;29/04/2016;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44582016' ;02/05/2016;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;12/09/2023;Desaprovada;Acórdão;'132319838' ;'-' ;;10/12/2021;16/12/2021;;;-;-;130057.87;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44652016' ;02/05/2016;;;;;-;-;-;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;31/05/2023;Desaprovada;Acórdão;'176-14' ;'-' ;;08/04/2021;27/09/2022;01/01/2023;31/01/2023;-;-;2089.73;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;26/05/2026;Desaprovada;Acórdão;'162718726' ;'44232016' ;29/04/2016;28/10/2024;22/05/2026;01/06/2026;01/07/2026;-;-;2695044.18;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44592016' ;02/05/2016;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44202016' ;29/04/2016;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;27/04/2021;Aprovada com ressalvas;Acórdão;'169-22' ;'-' ;;02/02/2021;18/02/2021;;;-;-;28922.85;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44242016' ;29/04/2016;;;;;-;-;-;Não;
'09607343000193' ;35;DEMOCRATA / PMB;Direção Nacional - PMB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;10/12/2020;Desaprovada;Acórdão;'170-07' ;'-' ;;23/11/2020;02/12/2020;;;-;-;121072.24;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44762016' ;02/05/2016;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44912016' ;02/05/2016;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;17/12/2024;Aprovada com ressalvas;Acórdão;'131704538' ;'-' ;;30/04/2021;19/11/2024;;;-;-;290729.88;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;11/09/2024;Desaprovada;Acórdão;'129388338' ;'42942016' ;27/04/2016;09/04/2021;04/06/2024;;;-;-;503136.12;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'45112016' ;02/05/2016;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;08/10/2021;Aprovada com ressalvas;Acórdão;'00001909520166000000' ;'-' ;;12/03/2021;04/08/2021;;;-;-;1033178.61;Não;
'06954942000195' ;50;PSOL;Direção Nacional - PSOL;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44732016' ;02/05/2016;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'45472016' ;03/05/2016;;;;;-;-;-;Não;
'12952205000156' ;90;PROS;Direção Nacional - PROS;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44082016' ;29/04/2016;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44712016' ;02/05/2016;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;12/04/2022;Aprovada com ressalvas;Acórdão;'17796' ;'-' ;;20/04/2021;14/03/2022;;;-;-;1642251.46;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44682016' ;02/05/2016;;;;;-;-;-;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;27/06/2023;Aprovada com ressalvas;Acórdão;'182-21' ;'-' ;;30/04/2021;31/03/2023;;;-;-;156320;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44622016' ;02/05/2016;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;10/04/2023;Aprovada com ressalvas;Acórdão;'180-51' ;'-' ;;27/04/2021;30/08/2022;;;-;-;225483.71;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;06/04/2026;-;-;'-' ;'00001371720166000000' ;14/04/2016;;;;;-;-;-;Não;
'13629827000100' ;55;PSD;Direção Nacional - PSD;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Julgada;06/04/2026;Aprovada com ressalvas;Decisão Monocrática;'165357690' ;'-' ;;12/03/2026;18/03/2026;;;-;-;264657;Não;
'10947546000108' ;54;PPL;Direção Nacional - PPL;-;Prestação de contas partidárias anuais;2015;BR - BRASIL;-;Em trâmite;28/08/2019;-;-;'-' ;'44252016' ;29/04/2016;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;06/02/2020;-;-;'-' ;'87742013' ;24/04/2013;;;;;-;-;-;Não;
'32095101000180' ;44;PRP;Direção Nacional - PRP;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;11/04/2023;Aprovada com ressalvas;Decisão Monocrática;'201-32' ;'-' ;;13/04/2018;26/05/2022;;;-;-;55291.14;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Não apresentada;27/02/2020;-;-;'-' ;'-' ;;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2018;BR - BRASIL;-;Julgada;20/10/2025;Desaprovada;Decisão Monocrática;'0600272-72' ;'-' ;;16/06/2025;13/08/2025;;;433558.86;-;2898387.76;Não;
'59933952000100' ;70;AVANTE / PT DO B;Direção Nacional - AVANTE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;14/09/2020;-;-;'-' ;'0600724482020' ;25/06/2020;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - CIDADANIA;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;18/09/2020;-;-;'-' ;'0600953082020' ;30/06/2020;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600756532020' ;27/06/2020;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;22/04/2025;Aprovada com ressalvas;Acórdão;'163608785' ;'-' ;;10/04/2025;14/04/2025;;;-;-;20339.25;Não;
'13405866000124' ;30;NOVO;Direção Nacional - NOVO;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;06/12/2024;Aprovada com ressalvas;Decisão Monocrática;'159475466' ;'0600906342020' ;30/06/2020;07/11/2023;16/09/2024;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600683812020' ;23/06/2020;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0601059672020' ;30/06/2020;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;06/10/2025;Aprovada com ressalvas;Acórdão;'164442317' ;'-' ;;19/09/2025;24/09/2025;;;-;-;562696.9;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;04/06/2025;-;-;'-' ;'06009643720206000000' ;30/06/2020;;;;;-;-;-;Não;
'18532307000107' ;77;SD / SDD / SOLIDARIEDADE;Direção Nacional - SOLIDARIEDADE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;04/06/2025;Aprovada com ressalvas;Acórdão;'163759616' ;'-' ;;23/05/2025;28/05/2025;;;-;-;393668.47;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600477672020' ;06/05/2020;;;;;-;-;-;Não;
'01127628000115' ;27;DC / PSDC;Direção Nacional - DC;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'159045799' ;'-' ;;29/05/2023;01/06/2023;;;2725.75;-;68882.07;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - MDB;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600919332020' ;30/06/2020;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600620562020' ;09/06/2020;;;;;-;-;-;Não;
'08950803000119' ;51;PATRI / PATRIOTA / PEN;Direção Nacional - PATRI;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;30/10/2024;Aprovada com ressalvas;Decisão Monocrática;'161176786' ;'-' ;;24/10/2024;28/10/2024;;;-;-;313139.96;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600879512020' ;30/06/2020;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;31/10/2023;Conta não prestada;Acórdão;'157499596' ;'-' ;;10/05/2022;13/05/2022;;;-;-;291416.68;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600710642020' ;24/06/2020;;;;;-;-;-;Não;
'00676262000170' ;13;PT;Direção Nacional - PT;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600694132020' ;24/06/2020;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600664752020' ;19/06/2020;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;03/06/2025;Desaprovada;Acórdão;'163759615' ;'-' ;;27/05/2025;30/05/2025;;;-;-;1255.12;Não;
'01209414000198' ;17;PSL;Direção Nacional - PSL;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600770372020' ;28/06/2020;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600783362020' ;29/06/2020;;;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;08/05/2024;Desaprovada;Acórdão;'160261168' ;'-' ;;04/04/2024;12/04/2024;;;12398.1;12398.1;247962.02;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;17/10/2023;-;-;'-' ;'0600866522020' ;29/06/2020;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;17/10/2023;Desaprovada;Acórdão;'159051052' ;'-' ;;26/06/2023;09/10/2023;;;26321.21;-;378277.18;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - REPUBLICANOS;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;12/02/2025;Aprovada com ressalvas;Decisão Monocrática;'162297721' ;'0600798052020' ;29/06/2020;04/02/2025;07/02/2025;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600876962020' ;29/06/2020;;;;;-;-;-;Não;
'17981188000107' ;18;REDE;Direção Nacional - REDE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;10/11/2023;Aprovada com ressalvas;Acórdão;'158725158' ;'-' ;;07/03/2023;13/03/2023;;;-;-;45439.97;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600957452020' ;30/06/2020;;;;;-;-;-;Não;
'31886963000168' ;43;PV;Direção Nacional - PV;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;27/11/2024;Aprovada com ressalvas;Acórdão;'159950632' ;'-' ;;02/02/2024;05/10/2024;;;-;-;126197.64;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600749612020' ;26/06/2020;;;;;-;-;-;Não;
'03605136000113' ;14;PTB;Direção Nacional - PTB;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Julgada;08/08/2025;Desaprovada;Acórdão;'163817743' ;'-' ;;04/08/2025;07/08/2025;;;-;-;2396105.41;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0600676892020' ;22/06/2020;;;;;-;-;-;Não;
'01248362000169' ;19;PODE / PTN;Direção Nacional - PODE;-;Prestação de contas partidárias anuais;2019;BR - BRASIL;-;Em trâmite;22/09/2020;-;-;'-' ;'0601069142020' ;30/06/2020;;;;;-;-;-;Não;
